Reference,Value,Qty,Part Number
C5,4.7 µF,1,GRM31CC72A475KE11L
L1,33mH,1,5900-333-RC
U2,LAUNCHXL-F28379D,1,LAUNCHXL-F28379D
U3,UCC5304DWVR,1,UCC5304DWVR
D1,SS310,1,SS310
Q1,IRF540N,1,IRF540N
D6,US2AA,1,US2AA
C9,33p,1,600F330FT250XT
"D2,D3,D4,D5,D7",IR26-21C_L110_TR8,5,IR26-21C_L110_TR8
C11,220n,1,C0805C224K5RACTU
C12,10u,1,GRM21BR61E106KA73L
C3,470u,1,100ZLH470MEFC16X31.5
"J1,J2,J3,J4,J5",Conn_01x01_Pin,5,BU-P72930
U1,LM358,1,LM358DGKR
R9,51,1,RC0805FR-0751RL
"R1,R4",10k,2,RMCF0805FT10K0
"R2,R3",500,2,RT0603BRC07500RL
"R5,R6,R7,R8,R13",3.3k,5,ERU-P06F3301V
R10,7,1,CRCW08057R15FKEA
R11,12,1,RC0805FR-0712RL
R12,50,1,RCP1206W50R0JTP
"C2,C6,C7,C8",1u,4,TMCP1E105MTRF
U4,TMV 0512SHI,1,TMV 0512SHI
C1,22u,1,C2012X5R1V226M125AC
C4,1u,1,GRM21BC72A105KE01L
C10,10u,1,F951C106MPAAQ2
Heatsink,,1,577202B00000G
